MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,,,,,,1516882,1nx6-16' Pebble Beach Grooved - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516882,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 1516882",DECK RAILING KIT,"Trex Company, Inc 1516882 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1516883,1nx6-20' Pebble Beach Grooved - Trex Enhance Basics Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516883,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 1516883",DECK RAILING KIT,"Trex Company, Inc 1516883 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543005016,7/8nx6-16' Malted Barley Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543005016,,Safety>Eye Protection>Safety Glasses,"Trex Company, Inc, Safety Glass, 543005016",SAFETY GLASS,"Trex Company, Inc 543005016 Safety Glass",,Safety Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Gender,,,Size,,,Lens Type,,,Lens Coating,,,Lens Color,,,Lens Material,,,Lens Size,,,Frame Shape,,,Frame Color,,,Frame Material,,,Frame Size,,,Temple Type,,,Temple Color,,,Temple Material,,,UV Protection Rating,,,Bridge Size,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543005020,7/8nx6-20' Malted Barley Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543005020,,Safety>Eye Protection>Safety Glasses,"Trex Company, Inc, Safety Glass, 543005020",SAFETY GLASS,"Trex Company, Inc 543005020 Safety Glass",,Safety Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Gender,,,Size,,,Lens Type,,,Lens Coating,,,Lens Color,,,Lens Material,,,Lens Size,,,Frame Shape,,,Frame Color,,,Frame Material,,,Frame Size,,,Temple Type,,,Temple Color,,,Temple Material,,,UV Protection Rating,,,Bridge Size,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543005412,7/8nx6-12' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543005412,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 543005412",DECK RAILING KIT,"Trex Company, Inc 543005412 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543005416,7/8nx6-16' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543005416,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 543005416",DECK RAILING KIT,"Trex Company, Inc 543005416 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543005420,7/8nx6-20' Malted Barley Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543005420,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 543005420",DECK RAILING KIT,"Trex Company, Inc 543005420 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1516891,7/8nx6-16' Millstone Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516891,,Safety>Eye Protection>Safety Glasses,"Trex Company, Inc, Safety Glass, 1516891",SAFETY GLASS,"Trex Company, Inc 1516891 Safety Glass",,Safety Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Gender,,,Size,,,Lens Type,,,Lens Coating,,,Lens Color,,,Lens Material,,,Lens Size,,,Frame Shape,,,Frame Color,,,Frame Material,,,Frame Size,,,Temple Type,,,Temple Color,,,Temple Material,,,UV Protection Rating,,,Bridge Size,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1516892,7/8nx6-20' Millstone Sq Edge -Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516892,,Safety>Eye Protection>Safety Glasses,"Trex Company, Inc, Safety Glass, 1516892",SAFETY GLASS,"Trex Company, Inc 1516892 Safety Glass",,Safety Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Gender,,,Size,,,Lens Type,,,Lens Coating,,,Lens Color,,,Lens Material,,,Lens Size,,,Frame Shape,,,Frame Color,,,Frame Material,,,Frame Size,,,Temple Type,,,Temple Color,,,Temple Material,,,UV Protection Rating,,,Bridge Size,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1516893,7/8nx6-12' Millstone Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516893,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 1516893",DECK RAILING KIT,"Trex Company, Inc 1516893 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1516894,7/8nx6-16' Millstone Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516894,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 1516894",DECK RAILING KIT,"Trex Company, Inc 1516894 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1516895,7/8nx6-20' Millstone Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,1516895,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 1516895",DECK RAILING KIT,"Trex Company, Inc 1516895 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007016,7/8nx6-16' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543007016,,Safety>Eye Protection>Safety Glasses,"Trex Company, Inc, Safety Glass, 543007016",SAFETY GLASS,"Trex Company, Inc 543007016 Safety Glass",,Safety Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Gender,,,Size,,,Lens Type,,,Lens Coating,,,Lens Color,,,Lens Material,,,Lens Size,,,Frame Shape,,,Frame Color,,,Frame Material,,,Frame Size,,,Temple Type,,,Temple Color,,,Temple Material,,,UV Protection Rating,,,Bridge Size,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007020,7/8nx6-20' Whiskey Barrel Sq Edge - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543007020,,Safety>Eye Protection>Safety Glasses,"Trex Company, Inc, Safety Glass, 543007020",SAFETY GLASS,"Trex Company, Inc 543007020 Safety Glass",,Safety Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Gender,,,Size,,,Lens Type,,,Lens Coating,,,Lens Color,,,Lens Material,,,Lens Size,,,Frame Shape,,,Frame Color,,,Frame Material,,,Frame Size,,,Temple Type,,,Temple Color,,,Temple Material,,,UV Protection Rating,,,Bridge Size,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007412,7/8nx6-12' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543007412,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 543007412",DECK RAILING KIT,"Trex Company, Inc 543007412 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007416,7/8nx6-16' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543007416,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 543007416",DECK RAILING KIT,"Trex Company, Inc 543007416 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,543007420,7/8nx6-20' Whiskey Barrel Grooved - Trex Select 2.0 Decking,TREX,-- No Unilog Brand --,-- No DIB Brand --,Boise Cascade Building Materials (BOICA),"Trex Company, Inc",TREX,,543007420,,Building Materials>Decking>Deck & Porch Railings>Deck Railing Kits,"Trex Company, Inc, Deck Railing Kit, 543007420",DECK RAILING KIT,"Trex Company, Inc 543007420 Deck Railing Kit",,Deck Railing Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series,,,Rail Profile Type,,,Rail Length,,,Rail Width,,,Rail Material,,,Rail Color,,,Balusters/Spindles Design,,,Balusters/Spindles Top Style,,,Balusters/Spindles Diameter,,,Balusters/Spindles Length,,,Balusters/Spindles Material,,,Balusters/Spindles Color,,,Installation Type,,,Number of Pieces,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512CS,1x12-12' Coastline - Vintage Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),,TIMBERTECH,,ADR5117512CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512MH,1x12-12' Mahogany - Vintage Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),,TIMBERTECH,,ADR5117512MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512WT,1x12-12' Weathered Teak - Vintage Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),,TIMBERTECH,,ADR5117512WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ADR5117512AW,1x12-12' American Walnut - Landmark Azek PVC Fascia,TIMBERTECH,-- No Unilog Brand --,-- No DIB Brand --,Parksite (6151),,TIMBERTECH,,ADR5117512AW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
